date,,2022-09-24_FY,2021-09-25_FY,2020-09-26_FY,2019-09-28_FY,2018-09-29_FY,2017-09-30_FY,2016-09-24_FY,2015-09-26_FY,2014-09-27_FY,2013-09-28_FY,2012-09-29_FY,2011-09-24_FY,2010-09-25_FY,2009-09-26_FY,2008-09-27_FY,2007-09-29_FY,2006-09-30_FY,2005-09-24_FY,2004-09-25_FY,2003-09-27_FY,2002-09-28_FY,2001-09-29_FY,2000-09-30_FY,1999-09-25_FY,1998-09-25_FY,1997-09-26_FY,1996-09-27_FY,1995-09-29_FY,1994-09-30_FY,1993-09-30_FY,1992-09-30_FY,1991-09-30_FY,1990-09-30_FY,1989-09-30_FY,1988-09-30_FY,1987-09-30_FY,1986-09-30_FY,1985-09-30_FY
,longTermInvestments,120805000000.0,127877000000.0,100887000000.0,105341000000.0,170799000000.0,194714000000.0,170430000000.0,164065000000.0,130162000000.0,106215000000.0,92122000000.0,55618000000.0,25391000000.0,10528000000.0,0.0,0.0,0.0,0.0,0.0,5000000.0,39000000.0,128000000.0,0.0,339000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,taxAssets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,259000000.0,138000000.0,88000000.0,0.0,183000000.0,86000000.0,60000000.0,229000000.0,266000000.0,0.0,208000000.0,173000000.0,264000000.0,354000000.0,702000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherNonCurrentAssets,54428000000.0,48849000000.0,42522000000.0,32978000000.0,22283000000.0,10162000000.0,8757000000.0,5556000000.0,3764000000.0,5146000000.0,5478000000.0,3556000000.0,2263000000.0,3392000000.0,1797000000.0,1134000000.0,1238000000.0,155000000.0,105000000.0,85000000.0,-98000000.0,-156000000.0,1063000000.0,11000000.0,70000000.0,59000000.0,-103000000.0,-406000000.0,159194000.0,173500000.0,203100000.0,182000000.0,174200000.0,115300000.0,91700000.0,40100000.0,11900000.0,23700000.0
,totalNonCurrentAssets,217350000000.0,216166000000.0,180175000000.0,175697000000.0,234386000000.0,246674000000.0,214817000000.0,201101000000.0,163308000000.0,133714000000.0,118411000000.0,71383000000.0,33505000000.0,17586000000.0,4882000000.0,3391000000.0,2696000000.0,1251000000.0,995000000.0,928000000.0,910000000.0,878000000.0,1376000000.0,876000000.0,591000000.0,809000000.0,849000000.0,1007000000.0,826294000.0,833000000.0,665300000.0,630000000.0,572400000.0,449500000.0,299100000.0,170500000.0,119200000.0,114100000.0
,otherAssets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,totalAssets,352755000000.0,351002000000.0,323888000000.0,338516000000.0,365725000000.0,375319000000.0,321686000000.0,290479000000.0,231839000000.0,207000000000.0,176064000000.0,116371000000.0,75183000000.0,53851000000.0,39572000000.0,25347000000.0,17205000000.0,11551000000.0,8050000000.0,6815000000.0,6298000000.0,6021000000.0,6803000000.0,5161000000.0,4289000000.0,4233000000.0,5364000000.0,6231000000.0,5302746000.0,5171400000.0,4223700000.0,3493600000.0,2975700000.0,2743900000.0,2082100000.0,1477900000.0,1160100000.0,936200000.0
,accountPayables,64115000000.0,54763000000.0,42296000000.0,46236000000.0,55888000000.0,49049000000.0,37294000000.0,35490000000.0,30196000000.0,22367000000.0,21175000000.0,14632000000.0,12015000000.0,5601000000.0,5520000000.0,4970000000.0,3390000000.0,1779000000.0,1451000000.0,1154000000.0,911000000.0,801000000.0,1157000000.0,812000000.0,719000000.0,685000000.0,791000000.0,1165000000.0,881717000.0,742600000.0,426900000.0,357100000.0,340600000.0,334200000.0,0.0,0.0,0.0,0.0
,shortTermDebt,21110000000.0,15613000000.0,13769000000.0,16240000000.0,20748000000.0,18473000000.0,11605000000.0,10999000000.0,6308000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,304000000.0,0.0,0.0,0.0,0.0,0.0,25000000.0,186000000.0,461000000.0,292200000.0,823200000.0,184500000.0,148600000.0,122600000.0,56800000.0,127900000.0,0.0,0.0,0.0
,taxPayables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1209000000.0,1200000000.0,1535000000.0,1140000000.0,210000000.0,439000000.0,100000000.0,488000000.0,388000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,deferredRevenue,7912000000.0,7612000000.0,6643000000.0,5522000000.0,7543000000.0,7548000000.0,8080000000.0,8940000000.0,8491000000.0,7435000000.0,5953000000.0,4091000000.0,2984000000.0,10305000000.0,4853000000.0,1410000000.0,746000000.0,501000000.0,544000000.0,368000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherCurrentLiabilities,60845000000.0,47493000000.0,42684000000.0,37720000000.0,32687000000.0,25744000000.0,22027000000.0,25181000000.0,17244000000.0,12656000000.0,9879000000.0,8107000000.0,5513000000.0,2937000000.0,3619000000.0,2431000000.0,1947000000.0,1204000000.0,685000000.0,531000000.0,747000000.0,717000000.0,776000000.0,737000000.0,801000000.0,1108000000.0,1026000000.0,699000000.0,770388000.0,949400000.0,814100000.0,711400000.0,563800000.0,504300000.0,699200000.0,478700000.0,328500000.0,295400000.0
,totalCurrentLiabilities,153982000000.0,125481000000.0,105392000000.0,105718000000.0,116866000000.0,100814000000.0,79006000000.0,80610000000.0,63448000000.0,43658000000.0,38542000000.0,27970000000.0,20722000000.0,19282000000.0,14092000000.0,9299000000.0,6471000000.0,3484000000.0,2680000000.0,2357000000.0,1658000000.0,1518000000.0,1933000000.0,1549000000.0,1520000000.0,1818000000.0,2003000000.0,2325000000.0,1944305000.0,2515200000.0,1425500000.0,1217100000.0,1027000000.0,895300000.0,827100000.0,478700000.0,328500000.0,295400000.0
,longTermDebt,98959000000.0,109106000000.0,98667000000.0,91807000000.0,93735000000.0,97207000000.0,75427000000.0,53463000000.0,28987000000.0,16960000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,316000000.0,317000000.0,300000000.0,300000000.0,954000000.0,951000000.0,949000000.0,303000000.0,304000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,deferredRevenueNonCurrent,0.0,0.0,0.0,0.0,2797000000.0,2836000000.0,2930000000.0,3624000000.0,3031000000.0,2625000000.0,2648000000.0,1686000000.0,1139000000.0,4485000000.0,3029000000.0,830000000.0,355000000.0,281000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,deferrredTaxLiabilitiesNonCurrent,0.0,0.0,0.0,0.0,426000000.0,31504000000.0,26019000000.0,24062000000.0,20259000000.0,16489000000.0,13847000000.0,8159000000.0,0.0,966000000.0,675000000.0,619000000.0,381000000.0,308000000.0,294000000.0,235000000.0,0.0,0.0,463000000.0,0.0,0.0,0.0,0.0,0.0,670668000.0,629800000.0,610800000.0,509900000.0,501800000.0,362900000.0,251600000.0,162800000.0,137500000.0,90300000.0
,otherNonCurrentLiabilities,49142000000.0,53325000000.0,54490000000.0,50503000000.0,44754000000.0,8911000000.0,10055000000.0,9365000000.0,4567000000.0,3719000000.0,2817000000.0,1941000000.0,5531000000.0,1286000000.0,746000000.0,67000000.0,14000000.0,12000000.0,0.0,0.0,229000000.0,266000000.0,0.0,208000000.0,173000000.0,264000000.0,354000000.0,702000000.0,472000.0,0.0,0.0,-100000.0,100000.0,0.0,0.0,-100000.0,0.0,0.0
,totalNonCurrentLiabilities,148101000000.0,162431000000.0,153157000000.0,142310000000.0,141712000000.0,140458000000.0,114431000000.0,90514000000.0,56844000000.0,39793000000.0,19312000000.0,11786000000.0,6670000000.0,6737000000.0,4450000000.0,1516000000.0,750000000.0,601000000.0,294000000.0,235000000.0,545000000.0,583000000.0,763000000.0,508000000.0,1127000000.0,1215000000.0,1303000000.0,1005000000.0,975140000.0,629800000.0,610800000.0,509800000.0,501900000.0,362900000.0,251600000.0,162700000.0,137500000.0,90300000.0
,otherLiabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
