date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2018-09-10,68.1925,68.9825,67.75,68.6825,68.099525,22013828,5503457,0.49,0.71855,68.54,"September 10, 18",0.0071855
2018-09-07,67.25,69.2325,66.7975,67.965,67.3881,29541872,7385468,0.715,1.06,68.29,"September 07, 18",0.0106
2018-09-06,69.44,69.465,67.8478,68.18,67.601303,32279556,8069889,-1.26,-1.81,68.39,"September 06, 18",-0.0181
2018-09-05,70.7475,71.105,68.7875,69.605,69.014214,39315676,9828919,-1.1425,-1.61,69.67,"September 05, 18",-0.0161
2018-09-04,70.0375,71.305,69.75,70.925,70.322998,39168908,9792227,0.8875,1.27,70.82,"September 04, 18",0.0127
2018-08-31,69.25,70.3,69.15,70.17,69.574402,30659000,7664750,0.92,1.33,70.08,"August 31, 18",0.0133
2018-08-30,69.3075,70.4293,69.08,69.4525,68.862999,34660920,8665230,0.145,0.20921,69.79,"August 30, 18",0.0020921
2018-08-29,68.48,69.875,68.27,69.6225,69.031548,42010964,10502741,1.1425,1.67,69.33,"August 29, 18",0.0167
2018-08-28,68.915,69.145,67.3825,68.595,67.975601,47538380,11884595,-0.32,-0.46434,68.25,"August 28, 18",-0.0046434
2018-08-27,68.355,69.725,68.0363,68.975,68.352165,50577748,12644437,0.62,0.90703,68.99,"August 27, 18",0.0090703
2018-08-24,66.795,68.2025,66.75,68.055,67.440453,53151048,13287762,1.26,1.89,67.75,"August 24, 18",0.0189
2018-08-23,65.315,67.37,65.1753,66.71,66.107605,72068456,18017114,1.395,2.14,66.69,"August 23, 18",0.0214
2018-08-22,63,65.755,62.965,65.705,65.111694,74985688,18746422,2.705,4.29,64.89,"August 22, 18",0.0429
2018-08-21,62.125,63.375,61.925,63.33,62.758141,67398840,16849710,1.205,1.94,62.93,"August 21, 18",0.0194
2018-08-20,60.795,63.3,59.68,61.96,61.400501,85438620,21359655,1.165,1.92,61.3,"August 20, 18",0.0192
2018-08-17,63.235,63.2425,60.9325,61.205,60.652317,114318776,28579694,-2.03,-3.21,61.68,"August 17, 18",-0.0321
2018-08-16,65.475,65.5,63.7525,64.36,63.778835,80119304,20029826,-1.115,-1.7,64.02,"August 16, 18",-0.017
2018-08-15,65.5675,65.9098,63.975,64.77,64.18512,59113576,14778394,-0.7975,-1.22,64.68,"August 15, 18",-0.0122
