date,,2023-01-29_FY,2022-01-30_FY,2021-01-31_FY,2020-01-26_FY,2019-01-27_FY,2018-01-28_FY,2017-01-29_FY,2016-01-31_FY,2015-01-25_FY,2014-01-26_FY,2013-01-27_FY,2012-01-29_FY,2011-01-30_FY,2010-01-31_FY,2009-01-31_FY,2008-01-31_FY,2007-01-28_FY,2006-01-29_FY,2005-01-30_FY,2004-01-31_FY,2003-01-26_FY,2002-01-27_FY,2001-01-28_FY,2000-01-30_FY,1999-01-31_FY
,otherInvestingActivites,0.0,0.0,0.0,0.0,0.0,2000000.0,2000000.0,25000000.0,20362000.0,19831000.0,352000.0,-1590000.0,-2163000.0,-218000.0,-442000.0,0.0,0.0,-9684000.0,0.0,0.0,7000000.0,17500000.0,-24500000.0,0.0,0.0
,netCashUsedForInvestingActivites,7375000000.0,-9830000000.0,-19675000000.0,6145000000.0,-4097000000.0,1278000000.0,-793000000.0,-400000000.0,-727048000.0,-805937000.0,-743992000.0,-1143364000.0,-649678000.0,-519333000.0,-209367000.0,-761318000.0,-540823000.0,-41787000.0,-151953000.0,88041000.0,-277324000.0,-601172000.0,-60829000.0,-11600000.0,-7900000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,0.0,-1000000000.0,0.0,0.0,-16000000.0,-812000000.0,-673000000.0,-3000000.0,-2917000.0,-2239000.0,-2049000.0,-11927000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,commonStockIssued,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,177276000.0,138029000.0,73547000.0,225969000.0,221160000.0,127988000.0,42502000.0,37757000.0,25487000.0,90375000.0,116579000.0,13400000.0,37900000.0
,commonStockRepurchased,-10039000000.0,0.0,0.0,0.0,-1579000000.0,-909000000.0,-739000000.0,-587000000.0,-813600000.0,-887304000.0,-100000000.0,0.0,0.0,0.0,-423636000.0,-552512000.0,-274978000.0,-188509000.0,-24644000.0,0.0,0.0,0.0,0.0,0.0,0.0
,dividendsPaid,-398000000.0,-399000000.0,-395000000.0,-390000000.0,-371000000.0,-341000000.0,-261000000.0,-213000000.0,-186452000.0,-181336000.0,-46866000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherFinancingActivites,-1180000000.0,3264000000.0,4199000000.0,-402000000.0,-900000000.0,-482000000.0,1964000000.0,127000000.0,169428000.0,1460471000.0,133645000.0,248650000.0,14745000.0,-76970000.0,815000.0,220000.0,188000.0,-856000.0,-4015000.0,-308048000.0,799000.0,8716000.0,489056000.0,-6400000.0,14200000.0
,netCashUsedProvidedByFinancingActivities,-11617000000.0,1865000000.0,3804000000.0,-792000000.0,-2866000000.0,-2544000000.0,291000000.0,-676000000.0,-833541000.0,389592000.0,-15270000.0,236723000.0,192021000.0,61059000.0,-349274000.0,-326323000.0,-53630000.0,-61377000.0,13843000.0,-270291000.0,26286000.0,99091000.0,605635000.0,7000000.0,52100000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,1399000000.0,1143000000.0,-10049000000.0,10114000000.0,-3220000000.0,2236000000.0,1170000000.0,99000000.0,-654933000.0,418801000.0,64910000.0,2515000.0,218140000.0,29533000.0,-309281000.0,182555000.0,-7342000.0,343244000.0,-5910000.0,-132572000.0,13994000.0,-341275000.0,612715000.0,11300000.0,52100000.0
,cashAtEndOfPeriod,3389000000.0,1990000000.0,847000000.0,10896000000.0,782000000.0,4002000000.0,1766000000.0,596000000.0,496654000.0,1151587000.0,732786000.0,667876000.0,665361000.0,447221000.0,417688000.0,726969000.0,544414000.0,551756000.0,208512000.0,214422000.0,346994000.0,333000000.0,674275000.0,61600000.0,0.0
,cashAtBeginningOfPeriod,1990000000.0,847000000.0,10896000000.0,782000000.0,4002000000.0,1766000000.0,596000000.0,497000000.0,1151587000.0,732786000.0,667876000.0,665361000.0,447221000.0,417688000.0,726969000.0,544414000.0,551756000.0,208512000.0,214422000.0,346994000.0,333000000.0,674275000.0,61560000.0,50300000.0,8000000.0
,operatingCashFlow,5641000000.0,9108000000.0,5822000000.0,4761000000.0,3743000000.0,3502000000.0,1672000000.0,1175000000.0,905656000.0,835146000.0,824172000.0,909156000.0,675797000.0,487807000.0,249360000.0,1270196000.0,587111000.0,446408000.0,132200000.0,49678000.0,265032000.0,160806000.0,67909000.0,15900000.0,-1900000.0
,capitalExpenditure,-1833000000.0,-976000000.0,-1128000000.0,-489000000.0,-600000000.0,-593000000.0,-176000000.0,-86000000.0,-122381000.0,-255186000.0,-183309000.0,-138735000.0,-97890000.0,-77601000.0,-407670000.0,-187745000.0,-145256000.0,-79600000.0,-67261000.0,-127604000.0,-63123000.0,-161075000.0,-36329000.0,-11600000.0,-7900000.0
,freeCashFlow,3808000000.0,8132000000.0,4694000000.0,4272000000.0,3143000000.0,2909000000.0,1496000000.0,1089000000.0,783275000.0,579960000.0,640863000.0,770421000.0,577907000.0,410206000.0,-158310000.0,1082451000.0,441855000.0,366808000.0,64939000.0,-77926000.0,201909000.0,-269000.0,31580000.0,4300000.0,-9800000.0
